t_local;t_unix;ems_68_grid_power_feed_in_w;ems_68_grid_power_delivery_w;ems_68_battery_power_supply_w;ems_68_battery_power_demand_w;ems_68_pv_power_supply_w;ems_68_user_power_demand_w;ems_68_charge_point_power_demand_w;ems_68_heatpump_power_demand_w
2021-10-19T06:15:00+02:00;1634616900;4,042390034;28,88234693;384,3807391;0;0;355,2596006;0;54,01659891
2021-10-19T06:30:00+02:00;1634617800;8,785242602;39,4198733;348,3121761;0;0;324,4762666;0;54,1514957
2021-10-19T06:45:00+02:00;1634618700;19,02838474;98,59007192;1389,187706;0;0;1035,257898;0;449,656667
2021-10-19T07:00:00+02:00;1634619600;62,97161648;89,4682234;1479,293219;0;0;997,4672205;0;506,4168628
2021-10-19T07:15:00+02:00;1634620500;6,050717384;37,06278089;680,4522349;0;0;233,2878;0;478,2613981
2021-10-19T07:30:00+02:00;1634621400;5,149282783;37,12014663;694,1801621;0;0;242,1223439;0;484,1990395
2021-10-19T07:45:00+02:00;1634622300;5,200000077;47,28408049;722,0050138;0;0;272,8924245;0;492,5126237
2021-10-19T08:00:00+02:00;1634623200;5,390875936;27,45520265;693,1083881;0;0;218,5893623;0;495,9871768
2021-10-19T08:15:00+02:00;1634624100;7,409124255;31,445237;692,0429709;0;0;214,1263074;0;502,0686004
2021-10-19T08:30:00+02:00;1634625000;5,782663994;32,84443732;680,0833226;0;0,000983819;199,0314953;0;508,0382481
2021-10-19T08:45:00+02:00;1634625900;0,054309256;35,53425533;663,8558797;0;1,170300514;189,0547303;0;511,8996437
2021-10-19T09:00:00+02:00;1634626800;7,750340886;30,49474063;379,5302899;0;9,035332918;212,0158795;0;183,461903
2021-10-19T09:15:00+02:00;1634627700;2,931092635;25,38328828;91,55766162;0;124,9229518;185,2089792;0;53,98918699
2021-10-19T09:30:00+02:00;1634628600;40,34368485;93,52797055;177,7715844;0,130810238;158,6580699;336,2468308;0;53,38606013
2021-10-19T09:45:00+02:00;1634629500;0,068720542;33,70648089;118,0439948;0;88,35290147;186,5052795;0;53,38126855
2021-10-19T10:00:00+02:00;1634630400;5,344015919;33,05478068;138,8939122;0;93,23940034;205,3643938;0;54,43185546
2021-10-19T10:15:00+02:00;1634631300;5,182101183;25,56753669;122,5595793;0;104,7793614;194,2653997;0;53,59353451
2021-10-19T10:30:00+02:00;1634632200;6,561387092;11,96078101;79,39887509;0;187,2732266;218,4758226;0;53,33139212
2021-10-19T10:45:00+02:00;1634633100;12,32017542;9,194461837;15,60091873;25,43466528;271,0843987;204,009643;0;54,42974076
2021-10-19T11:00:00+02:00;1634634000;20,80034365;6,470132291;5,830281027;180,1466763;445,5218431;203,8389847;0;53,21110663
